movie, star wars episode i  the phantom menace, 1999
director, star wars episode i  the phantom menace, george lucas
actor, star wars episode i  the phantom menace, tom sylla, battle droid
actor, star wars episode i  the phantom menace, danny wagner, mawhonic
actor, star wars episode i  the phantom menace, dwayne williams, naboo courier
actor, star wars episode i  the phantom menace, matthew wood, bib fortuna voice of ody mandrell
actor, star wars episode i  the phantom menace, bob woods, naboo courier

movie, torrance rises, 1999
director, torrance rises, lance bangs
director, torrance rises, spike jonze
director, torrance rises, torrance community dance group
actor, torrance rises, spike jonze, richard coufey
actress, torrance rises, michelle adams meeker, herself
actress, torrance rises, ashley barnett, herself
actress, torrance rises, dee buchanan, herself
actor, torrance rises, roman coppola, roman coppola
actress, torrance rises, sofia coppola, herself
actress, torrance rises, renee diamond, herself
actor, torrance rises, eminem, eminem
actor, torrance rises, alvin gaines molina, himself
actress, torrance rises, janeane garofalo, janeane garofalo
actor, torrance rises, michael gier, himself
actor, torrance rises, richard koufey, himself
actor, torrance rises, byron s loyd, himself
actress, torrance rises, allison lynch, herself
actress, torrance rises, madonna, madonna
actor, torrance rises, kevin l maher, himself
actor, torrance rises, tony maxwell, himself
actress, torrance rises, lonne g moretton, herself
actress, torrance rises, joyeve palffy, herself
actress, torrance rises, kristine petrucione, herself
actor, torrance rises, regis philbin, regis philbin
actress, torrance rises, cynthia m reed, herself
actor, torrance rises, chris rock, chris rock
actor, torrance rises, michael rooney, michael rooney
actor, torrance rises, justin ross, himself
actress, torrance rises, danette e sheppard, herself
actor, torrance rises, fatboy slim, fatboy slim
actor, torrance rises, will smith, will smith
actor, torrance rises, frank stancati, himself
actor, torrance rises, tim szczepanski, himself
actress, torrance rises, michelle weber, herself

movie, the usual suspects, 1995
director, the usual suspects, bryan singer
actor, the usual suspects, stephen baldwin, michael mcmanus
actor, the usual suspects, gabriel byrne, dean keaton
actor, the usual suspects, benicio del toro, fred fenster
actor, the usual suspects, kevin pollak, todd hockney
actor, the usual suspects, kevin spacey, roger verbal kint
actor, the usual suspects, chazz palminteri, dave kujan us customs
actor, the usual suspects, pete postlethwaite, kobayashi
actress, the usual suspects, suzy amis, edie finneran
actor, the usual suspects, giancarlo esposito, jack baer fbi
actor, the usual suspects, dan hedaya, sgt geoffrey jeff rabin
actor, the usual suspects, paul bartel, smuggler
actor, the usual suspects, carl bressler, saul berg
actor, the usual suspects, phillip simon, fortier
actor, the usual suspects, jack shearer, renault
actress, the usual suspects, christine estabrook, dr plummer
actor, the usual suspects, clark gregg, dr walters
actor, the usual suspects, morgan hunter, arkosh kovash
actor, the usual suspects, ken daly, translator
actress, the usual suspects, michelle clunie, sketch artist
actor, the usual suspects, louis lombardi, strausz
actor, the usual suspects, frank medrano, rizzi
actor, the usual suspects, ron gilbert, daniel metzheiser dept of justice
actor, the usual suspects, vito d ambrosio, arresting officer
actor, the usual suspects, gene lythgow, cop on pier
actor, the usual suspects, robert elmore, bodyguard 1
actor, the usual suspects, david powledge, bodyguard 2
actor, the usual suspects, bob pennetta, bodyguard 3
actor, the usual suspects, billy bates, bodyguard 4
actress, the usual suspects, smadar hanson, keyser s wife
actor, the usual suspects, castulo guerra, arturro marquez
actor, the usual suspects, peter rocca, jaime arturro s bodyguard
actor, the usual suspects, bert williams, old cop in property
actor, the usual suspects, john gillespie,
actor, the usual suspects, peter greene, redfoot the fence
actor, the usual suspects, christopher mcquarrie, interrogation cop
actor, the usual suspects, scott b morgan, keyser s ze in flashback

movie, the virgin suicides, 1999
director, the virgin suicides, sofia coppola
actor, the virgin suicides, james woods, mr lisbon
actress, the virgin suicides, kathleen turner, mrs lisbon
actress, the virgin suicides, kirsten dunst, lux lisbon
actor, the virgin suicides, josh hartnett, trip fontaine
actor, the virgin suicides, michael par, adult trip fontaine
actor, the virgin suicides, scott glenn, father moody
actor, the virgin suicides, danny devito, dr horniker
actress, the virgin suicides, a j cook, mary lisbon
actress, the virgin suicides, hanna r hall, cecilia lisbon
actress, the virgin suicides, leslie hayman, therese lisbon
actress, the virgin suicides, chelse swain, bonnie lisbon
actor, the virgin suicides, anthony desimone, chase buell
actor, the virgin suicides, lee kagan, david barker
actor, the virgin suicides, robert schwartzman, paul baldino
actor, the virgin suicides, noah shebib, parkie denton
actor, the virgin suicides, jonathan tucker, tim weiner
actor, the virgin suicides, joe roncetti, kevin head
actor, the virgin suicides, hayden christensen, joe hill conley
actor, the virgin suicides, chris hale, peter sisten
actor, the virgin suicides, joe dinicol, dominic palazzolo
actress, the virgin suicides, suki kaiser, lydia perl
actress, the virgin suicides, dawn greenhalgh, mrs scheer
actor, the virgin suicides, allen stewart coates, mr scheer
actress, the virgin suicides, sherry miller, mrs buell
actor, the virgin suicides, jonathon whittaker, mr buell
actress, the virgin suicides, michelle duquet, mrs denton
actor, the virgin suicides, murray mcrae, mr denton
actress, the virgin suicides, roberta hanley, mrs weiner
actor, the virgin suicides, paul sybersma, joe larson
actress, the virgin suicides, susan sybersma, mrs larson
actor, the virgin suicides, peter snider, trip s dad
actor, the virgin suicides, gary brennan, donald
actor, the virgin suicides, charles boyland, curt van osdol
actor, the virgin suicides, dustin ladd, chip willard
actress, the virgin suicides, kristin fairlie, amy schraff
actress, the virgin suicides, melody johnson, julie
actress, the virgin suicides, sheyla molho, danielle
actress, the virgin suicides, ashley ainsworth, sheila davis
actress, the virgin suicides, courtney hawkrigg, grace
actor, the virgin suicides, fran ois klanfer, doctor
actor, the virgin suicides, mackenzie lawrenz, jim czeslawski
actor, the virgin suicides, tim hall, kurt siles
actor, the virgin suicides, amos crawley, john
actor, the virgin suicides, andrew gillies, principal woodhouse
actress, the virgin suicides, marilyn smith, mrs woodhouse
actress, the virgin suicides, sally cahill, mrs hedlie
actress, the virgin suicides, tracy ferencz, nurse
actor, the virgin suicides, scot denton, mr o conner
actress, the virgin suicides, catherine swing, mrs o conner
actor, the virgin suicides, timothy adams, buzz romano
actor, the virgin suicides, michael michaelessi, parks department foreman
actress, the virgin suicides, sarah minhas, wanda brown
actress, the virgin suicides, megan kennedy, cheerleader
actress, the virgin suicides, sandi stahlbrand, meredith thompson
actor, the virgin suicides, neil girvan, drunk man in pool
actress, the virgin suicides, jaya karsemeyer, gloria
actress, the virgin suicides, leah straatsma, rannie
actor, the virgin suicides, mark polley, cemetery worker 1
actor, the virgin suicides, kirk gonnsen, cemetery worker 2
actress, the virgin suicides, marianne moroney, teacher
actress, the virgin suicides, anne wessels, woman in chiffon
actor, the virgin suicides, derek boyes, football grieving teacher
actor, the virgin suicides, john buchan, john lydia s boss
actress, the virgin suicides, mandy lee jones, student
actor, the virgin suicides, giovanni ribisi, narrator

movie, an american rhapsody, 2001
director, an american rhapsody, va g rdos
actress, an american rhapsody, scarlett johansson, suzanne sandor at 15
actress, an american rhapsody, nastassja kinski, margit sandor
actress, an american rhapsody, raffaella b ns gi, suzanne infant
actor, an american rhapsody, tony goldwyn, peter sandor
actress, an american rhapsody, gnes b nfalvy, helen
actor, an american rhapsody, zolt n seress, george
actress, an american rhapsody, klaudia szab, maria at 4
actor, an american rhapsody, zsolt zagoni, russian soldier
actor, an american rhapsody, andr s sz ke, istvan
actress, an american rhapsody, erzsi p sztor, ilus
actor, an american rhapsody, carlos laszlo weiner, boy on train boy at party
actress, an american rhapsody, bori kereszturi, suzanne at 3
actor, an american rhapsody, p ter k lloy moln r, avo officer
actress, an american rhapsody, zsuzsa czink czi, teri
actor, an american rhapsody, bal zs galk, jeno
actress, an american rhapsody, kata dob, claire
actress, an american rhapsody, va sz r nyi, eva
actor, an american rhapsody, don pugsley, cafe supervisor
actor, an american rhapsody, vladimir mashkov, frank
actress, an american rhapsody, lisa jane persky, pattie
actress, an american rhapsody, colleen camp, dottie
actress, an american rhapsody, kelly endresz banlaki, suzanne at 6
actress, an american rhapsody, imola g sp r, stewardess
actress, an american rhapsody, tatyana kanavka, girl in airport
actress, an american rhapsody, mae whitman, maria at 10
actress, an american rhapsody, lorna scott, neighbor with poodle
actress, an american rhapsody, sandra staggs, saleswoman
actress, an american rhapsody, jacqueline steiger, betty
actor, an american rhapsody, robert lesser, harold
actor, an american rhapsody, lou beach, party goer
actress, an american rhapsody, marlee jackson, sheila at 7
actress, an american rhapsody, emmy rossum, sheila at 15
actor, an american rhapsody, timothy everett moore, paul
actor, an american rhapsody, joshua dov, richard
actress, an american rhapsody, larisa oleynik, maria sandor at 18
actress, an american rhapsody, kati b cs, woman 1 at market
actress, an american rhapsody, zsuzsa sz ger, woman 2 at market
actor, an american rhapsody, andras banlaki,
actress, an american rhapsody, va g rdos, suzanne sandor in family picture age 6
actor, an american rhapsody, peter janosi, german customs officer

movie, the black dahlia, 2006
director, the black dahlia, brian de palma
actor, the black dahlia, josh hartnett, ofcr dwight bucky bleichert
actress, the black dahlia, scarlett johansson, kay lake
actress, the black dahlia, hilary swank, madeleine linscott
actor, the black dahlia, aaron eckhart, sgt leland lee blanchard
actress, the black dahlia, mia kirshner, elizabeth short
actor, the black dahlia, graham norris, sgt john carter
actress, the black dahlia, judith benezra,
actor, the black dahlia, richard brake, bobby dewitt
actor, the black dahlia, kevin dunn, cleo short
actor, the black dahlia, troy evans,
actor, the black dahlia, william finley,
actor, the black dahlia, patrick fischler, a d a ellis loew
actor, the black dahlia, michael p flannigan, desk sergeant
actor, the black dahlia, gregg henry,
actress, the black dahlia, claudia katz, frolic bartender
actor, the black dahlia, john kavanagh, emmet linscott
actress, the black dahlia, laura kightlinger, hooker
actor, the black dahlia, steven koller, male nurse
actor, the black dahlia, angus macinnes,
actor, the black dahlia, david mcdivitt, cop
actress, the black dahlia, rose mcgowan, sheryl saddon
actor, the black dahlia, victor mcguire,
actress, the black dahlia, rachel miner,
actress, the black dahlia, stephanie l moore, pretty girl
actor, the black dahlia, james otis,
actor, the black dahlia, david raibon, black man
actress, the black dahlia, jemima rooper,
actor, the black dahlia, anthony russell,
actor, the black dahlia, joost scholte, gi pick up
actor, the black dahlia, pepe serna,
actress, the black dahlia, fiona shaw,
actor, the black dahlia, joey slotnick,
actor, the black dahlia, mike starr, russ millard

movie, fall, 1997
director, fall, eric schaeffer
actor, fall, eric schaeffer, michael
actress, fall, amanda de cadenet, sarah
actor, fall, rudolf martin, phillipe
actress, fall, francie swift, robin
actress, fall, lisa vidal, sally
actress, fall, roberta maxwell, joan alterman
actor, fall, jose yenque, scasse
actor, fall, josip kuchan, zsarko
actress, fall, scarlett johansson, little girl
actress, fall, ellen barber, woman
actor, fall, willis burks ii, baja
actor, fall, scott cohen, derick
actor, fall, a j lopez, bellboy
actor, fall, casper martinez, church goer
actor, fall, arthur j nascarella, anthony the maitre d
actor, fall, john o nelson, guy by window
actor, fall, amaury nolasco, waiter
actor, fall, marc sebastian, popparazi
actor, fall, evan thompson, priest
actor, fall, larry weiss, paparazzi

movie, eight legged freaks, 2002
director, eight legged freaks, ellory elkayem
actor, eight legged freaks, david arquette, chris mccormick
actress, eight legged freaks, kari wuhrer, sheriff samantha parker
actor, eight legged freaks, scott terra, mike parker
actress, eight legged freaks, scarlett johansson, ashley parker
actor, eight legged freaks, doug e doug, harlan griffith
actor, eight legged freaks, rick overton, deputy pete willis
actor, eight legged freaks, leon rippy, wade
actor, eight legged freaks, matt czuchry, bret
actor, eight legged freaks, jay arlen jones, leon
actress, eight legged freaks, eileen ryan, gladys
actor, eight legged freaks, riley smith, randy
actor, eight legged freaks, matt holwick, larry
actress, eight legged freaks, jane edith wilson, emma
actor, eight legged freaks, jack moore, amos
actor, eight legged freaks, roy gaintner, floyd
actor, eight legged freaks, don champlin, leroy
actor, eight legged freaks, john storey, mark
actor, eight legged freaks, david earl waterman, norman
actress, eight legged freaks, randi j klein, waitress 1
actress, eight legged freaks, terey summers, waitress 2
actor, eight legged freaks, john ennis, cop 1
actor, eight legged freaks, ryan c benson, cop 2
actor, eight legged freaks, bruiser, himself
actor, eight legged freaks, tom noonan, joshua taft
