movie, the godfather, 1972
director, the godfather, francis ford coppola
actress, the godfather part ii, sofia coppola, child on steamship in ny harbor
actor, the godfather part ii, larry guardino, vito s uncle
actor, the godfather part ii, gary kurtz, photographer in court
actress, the godfather part ii, laura lyons,
actress, the godfather part ii, connie mason, extra
actor, the godfather part ii, john megna, young hyman roth
actor, the godfather part ii, frank pesce, extra
actress, the godfather part ii, filomena spagnuolo, extra in little italy

movie, the godfather part iii, 1990
director, the godfather part iii, francis ford coppola
actor, the godfather part iii, al pacino, don michael corleone
actress, the godfather part iii, diane keaton, kay adams mitchelson
actress, the godfather part iii, talia shire, connie corleone rizzi
actor, the godfather part iii, andy garcia, don vincent vinnie mancini corleone
actor, the godfather part iii, eli wallach, don altobello
actor, the godfather part iii, joe mantegna, joey zasa
actor, the godfather part iii, george hamilton, b j harrison
actress, the godfather part iii, bridget fonda, grace hamilton
actress, the godfather part iii, sofia coppola, mary corleone
actor, the godfather part iii, raf vallone, cardinal lamberto
actor, the godfather part iii, franc d ambrosio, anthony vito corleone turiddu sequence cavalleria rusticana
actor, the godfather part iii, donal donnelly, archbishop gilday
actor, the godfather part iii, richard bright, al neri
actor, the godfather part iii, helmut berger, frederick keinszig
actor, the godfather part iii, don novello, dominic abbandando
actor, the godfather part iii, john savage, father andrew hagen
actor, the godfather part iii, franco citti, calo
actor, the godfather part iii, mario donatone, mosca
actor, the godfather part iii, vittorio duse, don tommasino
actor, the godfather part iii, enzo robutti, don licio lucchesi
actor, the godfather part iii, michele russo, spara
actor, the godfather part iii, al martino, johnny fontane
actor, the godfather part iii, robert cicchini, lou penning
actor, the godfather part iii, rogerio miranda, twin bodyguard armand
actor, the godfather part iii, carlos miranda, twin bodyguard francesco
actor, the godfather part iii, vito antuofermo, anthony the ant squigliaro joey zaza s bulldog
actor, the godfather part iii, robert vento, father john
actor, the godfather part iii, willie brown, party politician
actress, the godfather part iii, jeannie linero, lucy mancini
actor, the godfather part iii, remo remotti, camerlengo cardinal cardinal  sistine
actress, the godfather part iii, jeanne savarino pesch, francesca corleone
actress, the godfather part iii, janet savarino smith, kathryn corleone
actress, the godfather part iii, tere livrano, teresa hagen
actor, the godfather part iii, carmine caridi, albert volpe
actor, the godfather part iii, don costello, frank romano
actor, the godfather part iii, al ruscio, leo cuneo
actor, the godfather part iii, mickey knox, marty parisi
actor, the godfather part iii, rick aviles, mask 1
actor, the godfather part iii, michael bowen, mask 2
actor, the godfather part iii, brett halsey, douglas michelson
actor, the godfather part iii, gabriele torrei, enzo the baker
actor, the godfather part iii, john abineri, hamilton banker
actor, the godfather part iii, brian freilino, stockholder
actor, the godfather part iii, gregory corso, unruly stockholder
actor, the godfather part iii, marino mas, lupo
actor, the godfather part iii, dado ruspoli, vanni
actress, the godfather part iii, valeria sabel, sister vincenza
actor, the godfather part iii, luigi laezza, keinszig killer
actor, the godfather part iii, beppe pianviti, keinszig killer
actor, the godfather part iii, santo indelicato, guardia del corpo
actor, the godfather part iii, francesco paolo bellante, autista di don tommasino
actor, the godfather part iii, paco reconti, gesu
actor, the godfather part iii, mimmo cuticchio, puppet narrator
actor, the godfather part iii, richard honigman, party reporter
actor, the godfather part iii, nicky blair, nicky the casino host
actor, the godfather part iii, anthony guidera, anthony the bodyguard
actor, the godfather part iii, frank tarsia, frankie the bodyguard
actress, the godfather part iii, diane agostini, woman with child at street fair
actress, the godfather part iii, jessica di cicco, child
actress, the godfather part iii, catherine scorsese, woman in cafe
actress, the godfather part iii, ida bernardini, woman in cafe
actor, the godfather part iii, joe drago, party security
actor, the godfather part iii, david hume kennerly, party photographer
actor, the godfather part iii, james d damiano, son playing soccer
actor, the godfather part iii, michael boccio, father of soccer player
actor, the godfather part iii, anton coppola, conductor sequence cavalleria rusticana
actress, the godfather part iii, elena lo forte, santuzza played by sequence cavalleria rusticana
actress, the godfather part iii, madelyn ren e monti, santuzza sung by lola sequence cavalleria rusticana
actress, the godfather part iii, corinna vozza, lucia sequence cavalleria rusticana
actor, the godfather part iii, angelo romero, alfio played by sequence cavalleria rusticana
actor, the godfather part iii, paolo gavanelli, alfio sung by sequence cavalleria rusticana
actor, the godfather part iii, salvatore billa, hired assassin
actor, the godfather part iii, sal borgese, lucchesi s door guard
actor, the godfather part iii, james caan, sonny corleone
actor, the godfather part iii, richard s castellano, peter clemenza
actor, the godfather part iii, john cazale, fredo corleone
actor, the godfather part iii, tony devon, mob family lawyer at the church
actor, the godfather part iii, andrea girolami, extra
actress, the godfather part iii, simonetta stefanelli, apollonia vitelli corleone
actor, the godfather part iii, lee strasberg, hyman roth stukowski
actor, the godfather part iii, f x vitolo, pasquale

movie, groundhog day, 1993
director, groundhog day, harold ramis
actor, groundhog day, bill murray, phil connors
actress, groundhog day, andie macdowell, rita
actor, groundhog day, chris elliott, larry
actor, groundhog day, stephen tobolowsky, ned ryerson
actor, groundhog day, brian doyle murray, buster green
actress, groundhog day, marita geraghty, nancy taylor
actress, groundhog day, angela paton, mrs lancaster
actor, groundhog day, rick ducommun, gus
actor, groundhog day, rick overton, ralph
actress, groundhog day, robin duke, doris the waitress
actress, groundhog day, carol bivins, anchorwoman
actor, groundhog day, willie garson, kenny
actor, groundhog day, ken hudson campbell, man in hallway
actor, groundhog day, les podewell, old man
actor, groundhog day, rod sell, groundhog official
actor, groundhog day, tom milanovich, state trooper
actor, groundhog day, john m watson sr, bartender
actress, groundhog day, peggy roeder, piano teacher
actor, groundhog day, harold ramis, neurologist
actor, groundhog day, david pasquesi, psychiatrist
actor, groundhog day, lee r sellars, cop
actor, groundhog day, chet dubowski, felix bank guard
actor, groundhog day, doc erickson, herman bank guard
actress, groundhog day, sandy maschmeyer, phil s movie date
actress, groundhog day, leighanne o neil, fan on street
actress, groundhog day, evangeline binkley, jeopardy  viewer
actor, groundhog day, samuel mages, jeopardy  viewer
actor, groundhog day, ben zwick, jeopardy  viewer
actress, groundhog day, hynden walch, debbie kleiser
actor, groundhog day, michael shannon, fred kleiser
actor, groundhog day, timothy hendrickson, bill waiter
actress, groundhog day, martha webster, alice waitress
actress, groundhog day, angela gollan, piano student
actor, groundhog day, shaun chaiyabhat, boy in tree
actress, groundhog day, dianne b shaw, e r nurse
actress, groundhog day, barbara ann grimes, flat tire lady
actress, groundhog day, ann heekin, flat tire lady
actress, groundhog day, lucina paquet, flat tire lady
actress, groundhog day, brenda pickleman, buster s wife
actress, groundhog day, amy murdoch, buster s daughter
actor, groundhog day, eric saiet, buster s son
actress, groundhog day, lindsay albert, woman with cigarette
actor, groundhog day, roger adler, guitarist
actor, groundhog day, ben a fish, bassist
actor, groundhog day, don riozz mcnichols, drummer
actor, groundhog day, brian willig, saxophonist
actor, groundhog day, richard henzel, dj
actor, groundhog day, rob riley, dj
actor, groundhog day, scooter, the groundhog
actor, groundhog day, douglas blakeslee, man with snow shovel
actress, groundhog day, leslie frates, herself  jeopardy  contestant
actor, groundhog day, mason gamble,
actor, groundhog day, simon harvey, news reporter
actor, groundhog day, grady hutt,
actress, groundhog day, regina prokop, polka dancer
actor, groundhog day, daniel riggs, bachelor
actor, groundhog day, paul terrien, groundhog official

movie, hail caesar, 2006
director, hail caesar, ethan coen
director, hail caesar, joel coen

movie, hearts of darkness a filmmaker s apocalypse, 1991
director, hearts of darkness a filmmaker s apocalypse, fax bahr
director, hearts of darkness a filmmaker s apocalypse, eleanor coppola
director, hearts of darkness a filmmaker s apocalypse, george hickenlooper
actor, hearts of darkness a filmmaker s apocalypse, john milius, himself
actor, hearts of darkness a filmmaker s apocalypse, sam bottoms, himself
actor, hearts of darkness a filmmaker s apocalypse, marlon brando, himself
actress, hearts of darkness a filmmaker s apocalypse, colleen camp, herself
actress, hearts of darkness a filmmaker s apocalypse, eleanor coppola, herself
actor, hearts of darkness a filmmaker s apocalypse, francis ford coppola, himself
actress, hearts of darkness a filmmaker s apocalypse, gia coppola, herself
actor, hearts of darkness a filmmaker s apocalypse, roman coppola, himself
actress, hearts of darkness a filmmaker s apocalypse, sofia coppola, herself
actor, hearts of darkness a filmmaker s apocalypse, robert de niro, himself
actor, hearts of darkness a filmmaker s apocalypse, robert duvall, himself
actor, hearts of darkness a filmmaker s apocalypse, laurence fishburne, himself
actor, hearts of darkness a filmmaker s apocalypse, harrison ford,
actor, hearts of darkness a filmmaker s apocalypse, frederic forrest, himself
actor, hearts of darkness a filmmaker s apocalypse, albert hall, himself
actor, hearts of darkness a filmmaker s apocalypse, dennis hopper, himself
actor, hearts of darkness a filmmaker s apocalypse, george lucas, himself
actor, hearts of darkness a filmmaker s apocalypse, martin sheen, himself
actor, hearts of darkness a filmmaker s apocalypse, g d spradlin, himself
actor, hearts of darkness a filmmaker s apocalypse, orson welles, himself from 1938 radio broadcast
