movie, cq, 2001
director, cq, roman coppola
actor, frankenweenie, paul bartel, mr walsh
actress, frankenweenie, sofia coppola, anne chambers
actor, frankenweenie, jason hervey, frank dale
actor, frankenweenie, paul c scott, mike anderson
actress, frankenweenie, helen boll, mrs curtis
actor, frankenweenie, sparky, sparky
actor, frankenweenie, rusty james, raymond

movie, ghost busters, 1984
director, ghost busters, ivan reitman
actor, ghost busters, bill murray, dr peter venkman
actor, ghost busters, dan aykroyd, dr raymond stantz
actress, ghost busters, sigourney weaver, dana barrett
actor, ghost busters, harold ramis, dr egon spengler
actor, ghost busters, rick moranis, louis tully
actress, ghost busters, annie potts, janine melnitz
actor, ghost busters, william atherton, walter peck wally wick
actor, ghost busters, ernie hudson, winston zeddmore
actor, ghost busters, david margulies, mayor
actor, ghost busters, steven tash, male student
actress, ghost busters, jennifer runyon, female student
actress, ghost busters, slavitza jovan, gozer
actor, ghost busters, michael ensign, hotel manager
actress, ghost busters, alice drummond, librarian
actor, ghost busters, jordan charney, dean yeager
actor, ghost busters, timothy carhart, violinist
actor, ghost busters, john rothman, library administrator
actor, ghost busters, tom mcdermott, archbishop
actor, ghost busters, roger grimsby, himself
actor, ghost busters, larry king, himself
actor, ghost busters, joe franklin, himself
actor, ghost busters, casey kasem, himself
actor, ghost busters, john ring, fire commissioner
actor, ghost busters, norman matlock, police commissioner
actor, ghost busters, joe cirillo, police captain
actor, ghost busters, joe schmieg, police seargeant
actor, ghost busters, reginald veljohnson, jail guard
actress, ghost busters, rhoda gemignani, real estate woman
actor, ghost busters, murray rubin, man at elevator
actor, ghost busters, larry dilg, con edison man
actor, ghost busters, danny stone, coachman
actress, ghost busters, patty dworkin, woman at party
actress, ghost busters, jean kasem, tall woman at party
actor, ghost busters, lenny del genio, doorman
actress, ghost busters, frances e nealy, chambermaid
actor, ghost busters, sam moses, hot dog vendor
actor, ghost busters, christopher wynkoop, tv reporter
actor, ghost busters, winston may, businessman in cab
actor, ghost busters, tommy hollis, mayor s aide
actress, ghost busters, eda reiss merin, louis s neighbor
actor, ghost busters, ric mancini, policeman at apartment
actress, ghost busters, kathryn janssen, mrs van hoffman
actor, ghost busters, stanley grover, reporter
actress, ghost busters, carol ann henry, reporter
actor, ghost busters, james hardie, reporter
actress, ghost busters, frances turner, reporter
actress, ghost busters, nancy kelly, reporter
actor, ghost busters, paul trafas, ted fleming
actress, ghost busters, cheryl birchenfield, annette fleming
actress, ghost busters, ruth oliver, library ghost
actress, ghost busters, kymberly herrin, dream ghost
actor, ghost busters, larry bilzarian, prisoner
actor, ghost busters, matteo cafiso, boy at hot dog stand
actress, ghost busters, paddi edwards, gozer
actress, ghost busters, deborah gibson, birthday girl in tavern on the green
actor, ghost busters, charles levin, honeymooner
actor, ghost busters, joseph marzano, man in taxi
actor, ghost busters, joe medjuck, man at library
actor, ghost busters, frank patton, city hall cop
actor, ghost busters, harrison ray, terror dog
actor, ghost busters, ivan reitman, zuul slimer
actor, ghost busters, mario todisco, prisoner
actor, ghost busters, bill walton, himself

movie, girl with a pearl earring, 2003
director, girl with a pearl earring, peter webber
actor, girl with a pearl earring, colin firth, johannes vermeer
actress, girl with a pearl earring, scarlett johansson, griet
actor, girl with a pearl earring, tom wilkinson, van ruijven
actress, girl with a pearl earring, judy parfitt, maria thins
actor, girl with a pearl earring, cillian murphy, pieter
actress, girl with a pearl earring, essie davis, catharina vermeer
actress, girl with a pearl earring, joanna scanlan, tanneke
actress, girl with a pearl earring, alakina mann, cornelia vermeer
actor, girl with a pearl earring, chris mchallem, griet s father
actress, girl with a pearl earring, gabrielle reidy, griet s mother
actor, girl with a pearl earring, rollo weeks, frans
actress, girl with a pearl earring, anna popplewell, maertge
actress, girl with a pearl earring, ana s nepper, lisbeth
actress, girl with a pearl earring, melanie meyfroid, aleydis
actor, girl with a pearl earring, nathan nepper, johannes
actress, girl with a pearl earring, lola carpenter, baby franciscus
actress, girl with a pearl earring, charlotte carpenter, baby franciscus
actress, girl with a pearl earring, olivia chauveau, baby franciscus
actor, girl with a pearl earring, geoff bell, paul the butcher
actress, girl with a pearl earring, virginie colin, emilie van ruijven
actress, girl with a pearl earring, sarah drews, van ruijven s daughter
actress, girl with a pearl earring, christelle bulckaen, wet nurse
actor, girl with a pearl earring, john mcenery, apothecary
actress, girl with a pearl earring, gintare parulyte, model
actress, girl with a pearl earring, claire johnston, white haired woman
actor, girl with a pearl earring, marc maes, old gentleman
actor, girl with a pearl earring, robert sibenaler, priest
actor, girl with a pearl earring, dustin james, servant 1
actor, girl with a pearl earring, joe reavis, servant 2
actor, girl with a pearl earring, martin serene, sergeant
actor, girl with a pearl earring, chris kelly, gay blade
actor, girl with a pearl earring, leslie woodhall, neighbour
